Applied time(seconds),Measured potential(v)
0.0,-0.0001923
9.999998999999999,-0.000961502
19.999997999999998,-0.00028845
29.999997999999998,-0.0001923
39.999995999999996,-0.0001923
49.999995999999996,-0.0006249760000000001
59.999995999999996,-0.00013461000000000001
69.99999199999999,-0.00013461000000000001
79.99999199999999,-0.00017307000000000002
89.99999199999999,-0.000105765
99.99999199999999,-0.00032691
110.0,-0.000124995
120.0,0.000259605
130.0,-0.000548056
140.0,-0.00028845
150.0,-5.7690124e-05
160.0,-7.6920168e-05
170.0,-0.000105765
180.0,-0.00013461000000000001
190.0,-0.000144225
200.0,-0.00017307000000000002
210.0,-0.000144225
220.0,-0.000163455
230.0,-0.00015384
240.0,-0.00015384
250.0,-0.00017307000000000002
260.0,-0.00015384
270.0,-0.00017307000000000002
280.0,-0.00015384
290.0,-0.000163455
300.0,-0.000182685
310.0,-0.00017307000000000002
320.0,-0.00017307000000000002
330.0,-0.000163455
340.0,-0.00017307000000000002
350.0,-0.000163455
360.0,-0.0001923
370.0,-0.000182685
380.0,-0.000182685
390.0,-0.000182685
400.0,-0.000182685
410.0,-0.00015384
420.0,-0.000182685
430.0,-0.00017307000000000002
440.0,-0.00017307000000000002
450.0,-0.000163455
460.0,-0.000163455
470.0,-0.000615361
480.0,-0.000144225
490.0,-6.7305144e-05
500.0,-0.000144225
510.0,-0.0005672860000000001
520.0,-0.000278835
530.0,-8.6535184e-05
540.0,-6.7305144e-05
550.0,-0.00011538000000000001
560.0,-0.00013461000000000001
570.0,-0.00013461000000000001
580.0,-0.000144225
590.0,-0.00017307000000000002
600.0,-0.000163455
610.0,-0.00015384
620.0,-0.000144225
630.0,-0.00015384
640.0,-0.000144225
650.0,-0.000163455
660.0,-0.00015384
670.0,-0.00015384
680.0,-0.00046152100000000006
690.0,-0.000163455
700.0,0.000163455
710.0,-9.6150208e-05
720.0,-0.00015384
730.0,-0.00026922000000000003
740.0,-0.000144225
750.0,-0.000240375
760.0,-8.6535184e-05
770.0,-0.000182685
780.0,-0.000423061
790.0,-0.000144225
800.0,-0.00017307000000000002
810.0,-0.00011538000000000001
820.0,-0.0007980460000000001
830.0,-0.00024999
840.0,-1.9230042e-05
850.0,0.0
860.0,-7.6920168e-05
870.0,-9.6150208e-05
880.0,-9.6150208e-05
890.0,-0.000278835
900.0,-1.9230042e-05
910.0,-5.7690124e-05
920.0,-0.000124995
930.0,-0.00024999
940.0,-0.00021153
950.0,-0.00011538000000000001
960.0,-0.00017307000000000002
970.0,-0.000240375
980.0,-0.00011538000000000001
990.0,-9.6150208e-05
1000.0,-0.00011538000000000001
1010.0,-0.00015384
1020.0,-0.00021153
1030.0,0.00021153
1040.0,0.00023076000000000002
1050.0,-0.000394215
1060.0,-0.00034614000000000004
1070.0,-0.00023076000000000002
1080.0,-0.00020191500000000002
1090.0,-0.000221145
1100.0,-0.000499981
1110.0,-0.000259605
1120.0,-0.00013461000000000001
1130.0,-0.000144225
1140.0,-0.00015384
1150.0,-0.000144225
1160.0,-0.00015384
1170.0,-0.000182685
1180.0,-0.00017307000000000002
1190.0,-0.0001923
1200.0,-0.000163455
1210.0,-0.000163455
1220.0,-0.00015384
1230.0,-0.00015384
1240.0,-0.000182685
1250.0,-0.000182685
1260.0,-0.000182685
1270.0,-0.0001923
1280.0,-0.000182685
1290.0,-0.0001923
1300.0,-0.00021153
